date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:04:49	316092/316092	---M--	200	added ('OK')	image/jpeg	etag:%224d2bc-645b9097-f2a2438ea89dbe19;;;%22	https://askbootstrap.com/preview/eatsome/img/3.jpeg	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/img/3.jpg	(from https://askbootstrap.com/preview/eatsome/)
10:04:49	317705/317705	---M--	200	added ('OK')	image/jpeg	etag:%224d909-645b9094-40c72c32bb7a9ad3;;;%22	https://askbootstrap.com/preview/eatsome/img/4.jpeg	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/img/4.jpg	(from https://askbootstrap.com/preview/eatsome/)
10:04:50	288319/288319	---M--	200	added ('OK')	image/jpeg	etag:%224663f-645b9096-ff9ad81844c6a371;;;%22	https://askbootstrap.com/preview/eatsome/img/5.jpeg	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/img/5.jpg	(from https://askbootstrap.com/preview/eatsome/)
10:04:50	28405/28405	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20May%202023%2012:39:43%20GMT	https://askbootstrap.com/preview/eatsome/index.html	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/index-2.html	(from https://askbootstrap.com/preview/eatsome/)
10:04:51	24072/24072	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20May%202023%2012:39:42%20GMT	https://askbootstrap.com/preview/eatsome/offers.html	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/offers.html	(from https://askbootstrap.com/preview/eatsome/)
10:04:52	10702/10702	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20May%202023%2012:39:43%20GMT	https://askbootstrap.com/preview/eatsome/cart.html	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/cart.html	(from https://askbootstrap.com/preview/eatsome/)
10:04:52	10961/10961	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20May%202023%2012:39:43%20GMT	https://askbootstrap.com/preview/eatsome/your-order.html	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/your-order.html	(from https://askbootstrap.com/preview/eatsome/)
10:04:52	6989/6989	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20May%202023%2012:39:43%20GMT	https://askbootstrap.com/preview/eatsome/edit-profile.html	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/edit-profile.html	(from https://askbootstrap.com/preview/eatsome/)
10:04:52	34683/34683	---M--	200	added ('OK')	image/jpeg	etag:%22877b-645b9097-e36ce957480bfd9f;;;%22	https://askbootstrap.com/preview/eatsome/img/user.jpeg	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/img/user.jpg	(from https://askbootstrap.com/preview/eatsome/)
10:04:52	5955/5955	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20May%202023%2012:39:42%20GMT	https://askbootstrap.com/preview/eatsome/enable-location.html	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/enable-location.html	(from https://askbootstrap.com/preview/eatsome/)
10:04:53	6326/6326	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20May%202023%2012:39:42%20GMT	https://askbootstrap.com/preview/eatsome/location.html	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/location.html	(from https://askbootstrap.com/preview/eatsome/)
10:04:53	7289/7289	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20May%202023%2012:39:42%20GMT	https://askbootstrap.com/preview/eatsome/signup.html	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/signup.html	(from https://askbootstrap.com/preview/eatsome/)
10:04:53	6861/6861	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20May%202023%2012:39:43%20GMT	https://askbootstrap.com/preview/eatsome/otp-verify.html	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/otp-verify.html	(from https://askbootstrap.com/preview/eatsome/)
10:04:53	7600/7600	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20May%202023%2012:39:42%20GMT	https://askbootstrap.com/preview/eatsome/coupons.html	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/coupons.html	(from https://askbootstrap.com/preview/eatsome/)
10:04:54	13126/13126	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20May%202023%2012:39:43%20GMT	https://askbootstrap.com/preview/eatsome/wallet.html	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/wallet.html	(from https://askbootstrap.com/preview/eatsome/)
10:04:54	8258/8258	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20May%202023%2012:39:43%20GMT	https://askbootstrap.com/preview/eatsome/notification-setting.html	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/notification-setting.html	(from https://askbootstrap.com/preview/eatsome/)
10:04:56	6217/6217	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20May%202023%2012:39:43%20GMT	https://askbootstrap.com/preview/eatsome/setting.html	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/setting.html	(from https://askbootstrap.com/preview/eatsome/)
10:04:56	12214/12214	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20May%202023%2012:39:42%20GMT	https://askbootstrap.com/preview/eatsome/checkout.html	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/checkout.html	(from https://askbootstrap.com/preview/eatsome/)
